id	concept
853	BREAK_ACROSS_
854	CHOP_WITH_AXE_
855	THROW_STONE_
856	LOOK_FOR
857	SCRATCH_SKIN_
858	CALL_OUT
859	TURN_ONESELF_
860	BE_SICK
861	SIBLING_SAME_SEX_OLDER_
862	SIBLING_DIFFERENT_SEX_OLDER_
863	BREAK_ACROSS_THE_GRAIN_
864	SHARPEN_A_BOW_
865	MAN_1
866	CALF_OF_LEG_
867	MALE_OF_ANIMALS_
868	CROCODILE*
869	POSSUM_TREE_9
870	ROAST_IN_FIRE_
871	TURN_ONESELF
872	_BE_SICK
873	SIBLING_DIF._SEX_OLDER_
874	OLD_OF_HUMANS
875	SIBLING_DIF._SEX_OLDER
876	SIBLING_DIF._SEX_YOUNGER
877	FACE_FOREHEAD
878	LEFT_ARM
879	RIGHT_ARM
880	CALF_OF_LEG
881	STOMACH_GUTS
882	BREAST_WOMAN
883	TAIL_OF_BIRD
884	CHICKEN_TAME
885	TAIL_OF_DOG
886	CHICKEN_WILD
887	POSSUM_GROUND
888	YAM_DISCOREA_ESCULENTA
889	COCONUT_TREE
890	LIGHT_OF_FIRE
891	AXE_STONE
892	AXE_IRON
893	ROPE_OF_BOW
894	SAUCEPAN_CLAY_POT
895	OLD_OF_OBJECTS
896	INSIDE_THE_HOUSE
897	FALL_OVER_TREE
898	SWELL_UP_SKIN
899	CARRY_ON_BACK
900	BLOW_ON_FIRE
901	CARRY_ON_SHOULDER
902	BREAK_ACROSS_THE_GRAIN
903	CUT_WITH_KNIFE
904	FELL_A_TREE
905	FILL_UP_LIQUID
906	FIGHT_HIT
907	THROW_STONE
908	POUR_OUT_LIQUID
909	SHARPEN_A_BOW
910	SKIN_BODY
911	MALE_OF_ANIMALS
912	FEMALE_OF_ANIMALS
913	POSSUM_TREE
914	YAM_DIOSCOREA_ESCULENTA
915	STUMP_OF_TREE
916	TOP_OF_TREE
917	TRUNK_OF_TREE
918	ROOT_OF_TREE
919	SHRUB_TANGET
920	SPEAR_FISH_SPEAR
921	FALL_TREE
922	BREAK_ACROSS
923	CHOP_WITH_AXE
924	ROAST_IN_FIRE
925	FILL_UP_WATER
926	SCRATCH_SKIN
927	FELL_TREE
